Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
3, Leila, heuristic, Leila, Porter, heuristic, doubleDealing, 0, 0, 16, 31, 53
3, Madusa, doubleDealing, Madusa, Chara, doubleDealing, heuristic, 0, 0, 17, 31, 52
4, Andres, doubleDealing, Andres, Sharmaine, doubleDealing, heuristic, 0, 0, 16, 31, 53
4, Damion, doubleDealing, Leila, Damion, heuristic, doubleDealing, 0, 0, 15, 31, 54
4, David, shortestChain, David, Roselia, shortestChain, doubleDealing, 0, 0, 14, 31, 55
4, Jerilyn, doubleDealing, Jerilyn, Lino, doubleDealing, heuristic, 0, 0, 14, 32, 54
4, Alice, doubleDealing, Audria, Alice, shortestChain, doubleDealing, 0, 0, 13, 32, 55
4, Jerica, heuristic, Jeremy, Jerica, shortestChain, heuristic, 0, 0, 13, 31, 56
4, None, None, Thurman, Eugene, doubleDealing, doubleDealing, 0, 0, 14, 30, 56
4, Artie, shortestChain, Yuonne, Artie, heuristic, shortestChain, 0, 0, 14, 30, 56
4, Guadalupe, doubleDealing, Guadalupe, Coleman, doubleDealing, doubleDealing, 0, 0, 13, 31, 56
4, Tinisha, doubleDealing, Sonny, Tinisha, shortestChain, doubleDealing, 0, 0, 13, 31, 56
4, Madusa, doubleDealing, Garland, Madusa, doubleDealing, doubleDealing, 0, 0, 13, 30, 57
4, Cupid, shortestChain, Pat, Cupid, shortestChain, shortestChain, 0, 0, 13, 30, 57
4, Tyron, doubleDealing, Magan, Tyron, shortestChain, doubleDealing, 0, 0, 13, 30, 57
4, Jewel, doubleDealing, Galen, Jewel, shortestChain, doubleDealing, 0, 0, 13, 29, 58
4, Mario, doubleDealing, Mario, Lorretta, doubleDealing, shortestChain, 0, 0, 13, 28, 59
4, Joel, doubleDealing, Joel, Merissa, doubleDealing, shortestChain, 0, 0, 13, 27, 60
4, Susan, heuristic, Dong, Susan, doubleDealing, heuristic, 0, 0, 13, 26, 61
4, Laurence, shortestChain, Laurence, Hunter, shortestChain, shortestChain, 0, 0, 14, 26, 60
4, Errol, doubleDealing, Errol, Kirby, doubleDealing, doubleDealing, 0, 0, 14, 26, 60
4, None, None, Ellyn, Julian, shortestChain, doubleDealing, 0, 0, 14, 26, 60
4, Ben, shortestChain, Sean, Ben, heuristic, shortestChain, 0, 0, 14, 26, 60
4, Sunny, doubleDealing, Cherelle, Sunny, doubleDealing, doubleDealing, 0, 0, 13, 27, 60
4, Haley, doubleDealing, Haley, Jamey, doubleDealing, shortestChain, 0, 0, 13, 27, 60
4, Chara, doubleDealing, Creola, Chara, doubleDealing, doubleDealing, 0, 0, 13, 26, 61
4, Celestine, doubleDealing, Celestine, Bill, doubleDealing, doubleDealing, 0, 0, 13, 26, 61
4, Andy, heuristic, Desmond, Andy, heuristic, heuristic, 0, 0, 13, 26, 61
4, Emelina, doubleDealing, Marybelle, Emelina, heuristic, doubleDealing, 0, 0, 13, 26, 61
4, Maxine, doubleDealing, Janelle, Maxine, shortestChain, doubleDealing, 0, 0, 12, 26, 62
4, Robby, shortestChain, Ernie, Robby, heuristic, shortestChain, 0, 0, 12, 25, 63
4, Sammy, heuristic, Sammy, Chanda, heuristic, doubleDealing, 0, 0, 11, 26, 63
4, None, None, Sachiko, Gerry, doubleDealing, shortestChain, 0, 0, 12, 26, 62
4, Elva, doubleDealing, Elva, Carson, doubleDealing, shortestChain, 0, 0, 12, 26, 62
4, Alfreda, doubleDealing, Alfreda, Milan, doubleDealing, doubleDealing, 0, 0, 12, 25, 63
4, Jay, doubleDealing, Lisa, Jay, doubleDealing, doubleDealing, 0, 0, 12, 25, 63
4, Kenyatta, doubleDealing, Bobby, Kenyatta, shortestChain, doubleDealing, 0, 0, 12, 25, 63
4, Stacey, doubleDealing, Stacey, Chin, doubleDealing, doubleDealing, 0, 0, 12, 24, 64
4, Alonso, doubleDealing, Antonietta, Alonso, shortestChain, doubleDealing, 0, 0, 12, 24, 64
4, Merlin, shortestChain, Melissa, Merlin, doubleDealing, shortestChain, 0, 0, 12, 23, 65
4, Elvera, shortestChain, Elvera, Raymundo, shortestChain, doubleDealing, 0, 0, 12, 24, 64
4, Chastity, doubleDealing, Kermit, Chastity, doubleDealing, doubleDealing, 0, 0, 12, 25, 63
4, Shameka, doubleDealing, Shameka, Maura, doubleDealing, shortestChain, 0, 0, 12, 25, 63
4, Franklin, doubleDealing, Lasandra, Franklin, shortestChain, doubleDealing, 0, 0, 12, 24, 64
4, Orlando, doubleDealing, Mitzie, Orlando, heuristic, doubleDealing, 0, 0, 12, 23, 65
4, Magaly, doubleDealing, Fallon, Magaly, heuristic, doubleDealing, 0, 0, 11, 23, 66
4, Doloris, doubleDealing, Doloris, Leticia, doubleDealing, shortestChain, 0, 0, 10, 23, 67
4, Marta, doubleDealing, Porter, Marta, heuristic, doubleDealing, 0, 0, 10, 22, 68
4, Delsie, shortestChain, Rudolph, Delsie, doubleDealing, shortestChain, 0, 0, 9, 22, 69
4, None, None, Lashaun, Darlene, shortestChain, doubleDealing, 0, 0, 9, 23, 68
4, Emerson, shortestChain, Emerson, Courtney, shortestChain, doubleDealing, 0, 0, 9, 23, 68
4, Earl, shortestChain, Lynn, Earl, heuristic, shortestChain, 0, 0, 9, 24, 67
5, Dong, heuristic, Dong, Leila, heuristic, doubleDealing, 0, 0, 8, 25, 67
5, Rudolph, shortestChain, Leticia, Rudolph, doubleDealing, shortestChain, 0, 0, 9, 25, 66
5, Kirby, doubleDealing, Guadalupe, Kirby, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Sunny, doubleDealing, Madusa, Sunny, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Tyron, doubleDealing, Coleman, Tyron, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Lashaun, shortestChain, Lashaun, Lynn, shortestChain, shortestChain, 0, 0, 9, 26, 65
5, Porter, doubleDealing, Porter, Jamey, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Jeremy, heuristic, Jeremy, Sammy, heuristic, heuristic, 0, 0, 9, 26, 65
5, Sharmaine, doubleDealing, Sharmaine, Alfreda, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Alonso, doubleDealing, Magan, Alonso, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Andy, heuristic, Chanda, Andy, heuristic, heuristic, 0, 0, 9, 26, 65
5, Magaly, doubleDealing, Elva, Magaly, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
5, Lisa, doubleDealing, Lisa, Cupid, doubleDealing, shortestChain, 0, 0, 9, 26, 65
5, Bill, doubleDealing, Mario, Bill, doubleDealing, doubleDealing, 0, 0, 9, 25, 66
5, Bobby, doubleDealing, Bobby, Audria, doubleDealing, doubleDealing, 0, 0, 9, 25, 66
5, Joel, doubleDealing, Garland, Joel, doubleDealing, doubleDealing, 0, 0, 9, 25, 66
5, Jewel, doubleDealing, Jewel, Haley, doubleDealing, doubleDealing, 0, 0, 9, 25, 66
5, Ben, shortestChain, Chara, Ben, doubleDealing, shortestChain, 0, 0, 9, 25, 66
5, None, None, Andres, Emerson, doubleDealing, shortestChain, 0, 0, 9, 26, 65
5, Raymundo, shortestChain, Sonny, Raymundo, doubleDealing, shortestChain, 0, 0, 9, 26, 65
5, Ellyn, shortestChain, Roselia, Ellyn, shortestChain, shortestChain, 0, 0, 9, 27, 64
5, Sachiko, doubleDealing, Fallon, Sachiko, doubleDealing, doubleDealing, 0, 0, 9, 27, 64
5, Chastity, doubleDealing, Chastity, Janelle, doubleDealing, doubleDealing, 0, 0, 9, 27, 64
5, Lino, doubleDealing, Lino, Pat, doubleDealing, shortestChain, 0, 0, 9, 27, 64
5, Maxine, doubleDealing, Doloris, Maxine, doubleDealing, doubleDealing, 0, 0, 9, 26, 65
